last_name, first_name,player_id,year,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,
Urias, Luis,649966,2022,.238,.398,.327,.326,.335,.161,87.3,18,34.3,8.3,
Arraez, Luis,650333,2022,.288,.408,.350,.333,.350,.121,88.9,12.9,38.7,3.6,
Jimenez, Eloy,650391,2022,.266,.512,.370,.365,.335,.246,92.8,7.4,31.7,14.7,
Torres, Gleyber,650402,2022,.244,.441,.328,.319,.298,.198,90.4,17.5,36.2,10.7,
Castro, Willi,650489,2022,.261,.339,.285,.290,.304,.079,84.8,13.9,35.5,3.5,
Diaz, Yandy,650490,2022,.288,.424,.366,.365,.395,.137,92.2,7.7,30.7,4.8,
De La Cruz, Bryan,650559,2022,.287,.498,.313,.355,.327,.212,90.8,9.8,43.6,11.9,
Rengifo, Luis,650859,2022,.254,.392,.314,.296,.285,.138,86.9,9.9,31.1,5.4,
Chapman, Matt,656305,2022,.234,.440,.331,.341,.331,.206,92.2,19,34,12.9,
Chavis, Michael,656308,2022,.217,.336,.282,.261,.256,.119,85.4,11.1,33,7.5,
Hoskins, Rhys,656555,2022,.239,.445,.345,.338,.327,.207,90.1,18.1,37.3,11.1,
Joe, Connor,656582,2022,.241,.340,.314,.311,.342,.100,85.3,10.6,35.1,4.5,
Mullins II, Cedric,656775,2022,.232,.349,.315,.288,.297,.117,88.8,17.4,29.3,4.9,
Rivera, Emmanuel,656896,2022,.238,.410,.306,.310,.296,.173,90.4,9.8,32.3,9.3,
Schwarber, Kyle,656941,2022,.237,.535,.355,.375,.341,.298,93.3,19.2,35.4,20.1,
Smith, Pavin,656976,2022,.216,.379,.294,.304,.300,.163,87.9,15.2,28.7,9.9,
Thomas, Lane,657041,2022,.222,.357,.308,.286,.286,.135,86.4,12.5,32.6,6.5,
Verdugo, Alex,657077,2022,.278,.428,.319,.329,.327,.151,89.1,8.4,37.8,6,
Laureano, Ramon,657656,2022,.219,.402,.294,.307,.294,.183,88.7,14.9,28.9,11.6,
Sheets, Gavin,657757,2022,.224,.359,.308,.283,.281,.135,88.6,14.8,32.3,6.5,
Moncada, Yoan,660162,2022,.220,.375,.275,.289,.282,.155,88.7,15.7,35.1,9.8,
Ohtani, Shohei,660271,2022,.278,.552,.370,.385,.361,.274,92.9,12.1,35,16.8,
Castillo, Diego,660636,2022,.224,.389,.272,.292,.273,.164,89.1,14.6,37.7,9.9,
Acuna Jr., Ronald,660670,2022,.272,.486,.335,.366,.358,.214,91.2,10.8,32.8,12.8,
Ruiz, Keibert,660688,2022,.277,.403,.299,.328,.337,.126,88,14.9,36.3,3.7,
Gonzalez, Oscar,660757,2022,.279,.422,.339,.320,.313,.143,88.6,5.4,32.5,7.3,
Yepez, Juan,660766,2022,.216,.394,.319,.286,.263,.178,86.5,17.1,33.2,9.2,
Sanchez, Jesus,660821,2022,.226,.383,.298,.298,.290,.158,89.5,11,25.7,9.9,
Contreras, William,661388,2022,.243,.479,.370,.347,.323,.235,90.4,6.1,31.9,13.4,
Varsho, Daulton,662139,2022,.214,.389,.323,.298,.285,.176,87.7,14.9,33.6,10.2,
Nootbaar, Lars,663457,2022,.247,.414,.342,.346,.360,.167,91.7,10.7,30.4,12.1,
Hoerner, Nico,663538,2022,.270,.366,.320,.301,.318,.097,87.2,10.7,32.6,2.6,
Riley, Austin,663586,2022,.271,.531,.377,.378,.349,.260,92.5,12.9,37.7,15.7,
Mountcastle, Ryan,663624,2022,.277,.509,.316,.362,.332,.232,91.3,15.9,39.5,15,
Hayes, Ke'Bryan,663647,2022,.250,.354,.294,.303,.321,.105,91,5.2,30.6,3.9,
Tucker, Kyle,663656,2022,.262,.482,.348,.353,.336,.220,90,19,34.4,10.2,
India, Jonathan,663697,2022,.238,.354,.315,.302,.318,.116,85.1,14.5,36,4.8,
Bart, Joey,663698,2022,.210,.370,.294,.296,.292,.160,87.3,16.3,32.2,10.1,
